Year,Wages,PrivateWages,GovernmentWages,PersonalTaxes,ConsumptionExpenses,InterestPayments,PersonalSavings,Population
1929,51000000000,46000000000,5000000000,2000000000,77000000000,2000000000,4000000000,121878000
1930,46000000000,41000000000,5000000000,2000000000,70000000000,1000000000,3000000000,123188000
1931,39000000000,34000000000,5000000000,1000000000,61000000000,1000000000,2000000000,124149000
1932,31000000000,26000000000,5000000000,1000000000,49000000000,1000000000,-1000000000,124949000
1933,29000000000,24000000000,5000000000,1000000000,46000000000,1000000000,-1000000000,125690000
1934,34000000000,28000000000,6000000000,1000000000,52000000000,1000000000,1000000000,126485000
1935,37000000000,30000000000,7000000000,1000000000,56000000000,1000000000,3000000000,127362000
1936,42000000000,34000000000,8000000000,1000000000,62000000000,1000000000,4000000000,128181000
1937,46000000000,39000000000,8000000000,2000000000,67000000000,1000000000,4000000000,128961000
1938,43000000000,35000000000,8000000000,2000000000,64000000000,1000000000,1000000000,129969000
1939,46000000000,38000000000,8000000000,2000000000,67000000000,1000000000,3000000000,131028000
1940,50000000000,41000000000,9000000000,2000000000,71000000000,1000000000,4000000000,132122000
1941,62000000000,52000000000,10000000000,2000000000,81000000000,1000000000,11000000000,133402000
1942,82000000000,66000000000,16000000000,5000000000,89000000000,1000000000,29000000000,134860000
1943,106000000000,79000000000,27000000000,17000000000,100000000000,0,35000000000,136739000
1944,117000000000,84000000000,33000000000,18000000000,109000000000,0,39000000000,138397000
1945,118000000000,83000000000,35000000000,19000000000,120000000000,0,31000000000,139928000
1946,112000000000,91000000000,21000000000,17000000000,144000000000,1000000000,16000000000,141389000
1947,123000000000,106000000000,18000000000,20000000000,162000000000,1000000000,7000000000,144126000
1948,136000000000,117000000000,19000000000,19000000000,175000000000,1000000000,13000000000,146631000
1949,135000000000,114000000000,21000000000,17000000000,179000000000,2000000000,9000000000,149188000
1950,147000000000,125000000000,23000000000,19000000000,192000000000,2000000000,15000000000,151684000
1951,172000000000,142000000000,29000000000,27000000000,209000000000,2000000000,19000000000,154287000
1952,186000000000,152000000000,33000000000,32000000000,220000000000,3000000000,20000000000,156954000
1953,199000000000,165000000000,34000000000,33000000000,233000000000,3000000000,21000000000,159565000
1954,197000000000,162000000000,35000000000,30000000000,240000000000,3000000000,20000000000,162391000
1955,212000000000,176000000000,37000000000,33000000000,259000000000,4000000000,20000000000,165275000
1956,229000000000,190000000000,39000000000,37000000000,272000000000,5000000000,26000000000,168221000
1957,240000000000,199000000000,41000000000,39000000000,287000000000,5000000000,27000000000,171274000
1958,241000000000,197000000000,44000000000,39000000000,296000000000,5000000000,28000000000,174141000
1959,260000000000,214000000000,46000000000,42000000000,318000000000,6000000000,26000000000,177130000
1960,273000000000,224000000000,49000000000,46000000000,332000000000,6000000000,26000000000,180760000
1961,281000000000,228000000000,53000000000,47000000000,342000000000,7000000000,32000000000,183742000
1962,299000000000,243000000000,56000000000,52000000000,363000000000,7000000000,34000000000,186590000
1963,315000000000,255000000000,60000000000,55000000000,383000000000,8000000000,33000000000,189300000
1964,338000000000,273000000000,65000000000,52000000000,412000000000,9000000000,41000000000,191927000
1965,364000000000,294000000000,70000000000,58000000000,444000000000,10000000000,43000000000,194347000
1966,400000000000,322000000000,78000000000,66000000000,481000000000,11000000000,44000000000,196599000
1967,429000000000,343000000000,87000000000,73000000000,508000000000,11000000000,54000000000,198752000
1968,472000000000,375000000000,97000000000,87000000000,558000000000,12000000000,53000000000,200745000
1969,518000000000,413000000000,106000000000,105000000000,605000000000,14000000000,53000000000,202736000
1970,552000000000,434000000000,117000000000,103000000000,648000000000,15000000000,69000000000,205089000
1971,584000000000,457000000000,127000000000,102000000000,702000000000,17000000000,80000000000,207692000
1972,639000000000,501000000000,138000000000,124000000000,770000000000,18000000000,78000000000,209924000
1973,709000000000,560000000000,149000000000,132000000000,852000000000,20000000000,103000000000,211939000
1974,773000000000,612000000000,161000000000,151000000000,933000000000,21000000000,114000000000,213898000
1975,815000000000,639000000000,176000000000,148000000000,1034000000000,24000000000,126000000000,215981000
1976,900000000000,711000000000,189000000000,172000000000,1151000000000,24000000000,123000000000,218086000
1977,994000000000,792000000000,203000000000,198000000000,1278000000000,27000000000,125000000000,220289000
1978,1120000000000,901000000000,220000000000,229000000000,1428000000000,32000000000,142000000000,222629000
1979,1254000000000,1016000000000,237000000000,269000000000,1591000000000,36000000000,158000000000,225106000
1980,1374000000000,1112000000000,262000000000,299000000000,1756000000000,44000000000,196000000000,227726000
1981,1511000000000,1226000000000,286000000000,345000000000,1940000000000,49000000000,237000000000,230008000
1982,1588000000000,1280000000000,308000000000,354000000000,2076000000000,60000000000,264000000000,232218000
1983,1678000000000,1353000000000,325000000000,352000000000,2289000000000,69000000000,227000000000,234333000
1984,1845000000000,1497000000000,348000000000,377000000000,2501000000000,77000000000,296000000000,236394000
1985,1983000000000,1609000000000,374000000000,417000000000,2718000000000,89000000000,254000000000,238506000
1986,2102000000000,1705000000000,397000000000,437000000000,2897000000000,95000000000,247000000000,240683000
1987,2256000000000,1833000000000,423000000000,489000000000,3097000000000,92000000000,223000000000,242843000
1988,2440000000000,1988000000000,452000000000,505000000000,3350000000000,94000000000,257000000000,245061000
1989,2583000000000,2102000000000,481000000000,566000000000,3595000000000,104000000000,265000000000,247387000
1990,2741000000000,2222000000000,519000000000,593000000000,3836000000000,111000000000,277000000000,250181000
1991,2815000000000,2266000000000,549000000000,587000000000,3980000000000,115000000000,313000000000,253530000
1992,2974000000000,2402000000000,572000000000,611000000000,4237000000000,111000000000,348000000000,256922000
1993,3077000000000,2488000000000,589000000000,647000000000,4484000000000,107000000000,285000000000,260282000
1994,3231000000000,2621000000000,610000000000,691000000000,4751000000000,113000000000,271000000000,263455000
1995,3418000000000,2789000000000,629000000000,744000000000,4987000000000,131000000000,286000000000,266588000
1996,3616000000000,2968000000000,648000000000,832000000000,5274000000000,147000000000,281000000000,269714000
1997,3877000000000,3205000000000,672000000000,926000000000,5571000000000,160000000000,280000000000,272958000
1998,4182000000000,3480000000000,701000000000,1026000000000,5919000000000,170000000000,342000000000,276154000
1999,4460000000000,3726000000000,734000000000,1108000000000,6343000000000,177000000000,208000000000,279328000
2000,4828000000000,4048000000000,780000000000,1232000000000,6830000000000,200000000000,213000000000,282418000
2001,4952000000000,4130000000000,822000000000,1235000000000,7149000000000,204000000000,205000000000,285335000
2002,4997000000000,4124000000000,873000000000,1050000000000,7439000000000,191000000000,282000000000,288133000
2003,5140000000000,4226000000000,913000000000,1000000000000,7804000000000,183000000000,290000000000,290845000
2004,5426000000000,4473000000000,953000000000,1048000000000,8285000000000,190000000000,304000000000,293502000
2005,5701000000000,4710000000000,992000000000,1209000000000,8819000000000,211000000000,128000000000,296229000
2006,6069000000000,5034000000000,1035000000000,1352000000000,9323000000000,230000000000,235000000000,299052000
2007,6422000000000,5333000000000,1089000000000,1489000000000,9806000000000,261000000000,215000000000,302025000
2008,6559000000000,5415000000000,1144000000000,1438000000000,10105000000000,246000000000,448000000000,304831000
2009,6274000000000,5101000000000,1174000000000,1140000000000,10001000000000,217000000000,655000000000,307483000
2010,6405000000000,5218000000000,1187000000000,1167000000000,10349000000000,199000000000,659000000000,310106000